[DEBUG Mon Jun 22 19:24:53 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:24:53 2026] ...e_server/src/comms.lua:69: Results : "done" 44340
[DEBUG Mon Jun 22 19:25:07 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:25:07 2026] ...e_server/src/comms.lua:69: Results : "done" 18461
[DEBUG Mon Jun 22 19:25:08 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:25:08 2026] ...e_server/src/comms.lua:69: Results : "done" 49060
[DEBUG Mon Jun 22 19:26:10 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:26:10 2026] ...e_server/src/comms.lua:69: Results : "done" 10833
[DEBUG Mon Jun 22 19:26:11 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:26:11 2026] ...e_server/src/comms.lua:69: Results : "done" 46064
[DEBUG Mon Jun 22 19:26:20 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:26:20 2026] ...e_server/src/comms.lua:69: Results : "done" 24505
[DEBUG Mon Jun 22 19:26:21 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:26:21 2026] ...e_server/src/comms.lua:69: Results : "done" 58555
[DEBUG Mon Jun 22 19:26:28 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:26:28 2026] ...e_server/src/comms.lua:69: Results : "done" 4221
[DEBUG Mon Jun 22 19:26:29 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:26:29 2026] ...e_server/src/comms.lua:69: Results : "done" 19484
[DEBUG Mon Jun 22 19:27:01 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:27:01 2026] ...e_server/src/comms.lua:69: Results : "done" 62494
[DEBUG Mon Jun 22 19:27:02 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:27:02 2026] ...e_server/src/comms.lua:69: Results : "done" 22908
[DEBUG Mon Jun 22 19:27:12 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:27:12 2026] ...e_server/src/comms.lua:69: Results : "done" 29543
[DEBUG Mon Jun 22 19:27:13 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:27:13 2026] ...e_server/src/comms.lua:69: Results : "done" 32508
[DEBUG Mon Jun 22 19:27:55 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:27:55 2026] ...e_server/src/comms.lua:69: Results : "done" 65097
[DEBUG Mon Jun 22 19:27:56 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:27:56 2026] ...e_server/src/comms.lua:69: Results : "done" 16633
[DEBUG Mon Jun 22 19:28:00 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:28:00 2026] ...e_server/src/comms.lua:69: Results : "done" 64766
[DEBUG Mon Jun 22 19:28:01 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:28:01 2026] ...e_server/src/comms.lua:69: Results : "done" 36202
[DEBUG Mon Jun 22 19:30:15 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:30:15 2026] ...e_server/src/comms.lua:69: Results : "done" 52712
[DEBUG Mon Jun 22 19:30:16 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:30:16 2026] ...e_server/src/comms.lua:69: Results : "done" 43483
[DEBUG Mon Jun 22 19:31:41 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:31:41 2026] ...e_server/src/comms.lua:69: Results : "done" 13421
[DEBUG Mon Jun 22 19:31:42 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:31:42 2026] ...e_server/src/comms.lua:69: Results : "done" 51671
[DEBUG Mon Jun 22 19:31:55 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:31:55 2026] ...e_server/src/comms.lua:69: Results : "done" 34199
[DEBUG Mon Jun 22 19:31:56 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:31:56 2026] ...e_server/src/comms.lua:69: Results : "done" 18812
[DEBUG Mon Jun 22 19:32:05 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:32:05 2026] ...e_server/src/comms.lua:69: Results : "done" 12363
[DEBUG Mon Jun 22 19:32:06 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:32:06 2026] ...e_server/src/comms.lua:69: Results : "done" 63902
[DEBUG Mon Jun 22 19:32:34 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:32:34 2026] ...e_server/src/comms.lua:69: Results : "done" 7271
[DEBUG Mon Jun 22 19:32:35 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:32:35 2026] ...e_server/src/comms.lua:69: Results : "done" 34096
[DEBUG Mon Jun 22 19:32:42 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:32:42 2026] ...e_server/src/comms.lua:69: Results : "done" 8015
[DEBUG Mon Jun 22 19:32:43 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:32:43 2026] ...e_server/src/comms.lua:69: Results : "done" 56361
[DEBUG Mon Jun 22 19:32:55 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:32:55 2026] ...e_server/src/comms.lua:69: Results : "done" 10242
[DEBUG Mon Jun 22 19:32:56 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:32:56 2026] ...e_server/src/comms.lua:69: Results : "done" 37677
[DEBUG Mon Jun 22 19:33:18 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:33:18 2026] ...e_server/src/comms.lua:69: Results : "done" 54698
[DEBUG Mon Jun 22 19:33:19 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:33:19 2026] ...e_server/src/comms.lua:69: Results : "done" 3815
[DEBUG Mon Jun 22 19:34:20 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:34:20 2026] ...e_server/src/comms.lua:69: Results : "done" 63591
[DEBUG Mon Jun 22 19:34:21 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:34:21 2026] ...e_server/src/comms.lua:69: Results : "done" 31674
[DEBUG Mon Jun 22 19:36:52 2026] ...e_server/src/comms.lua:66: cmd recieved = "move_item"
[DEBUG Mon Jun 22 19:36:52 2026] ...e_server/src/comms.lua:69: Results : "done" 48581
[DEBUG Mon Jun 22 19:36:52 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:36:52 2026] ...e_server/src/comms.lua:69: Results : "done" 40350
[DEBUG Mon Jun 22 19:48:19 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:48:19 2026] ...e_server/src/comms.lua:69: Results : "done" 39322
[DEBUG Mon Jun 22 19:48:20 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:48:20 2026] ...e_server/src/comms.lua:69: Results : "done" 9993
[DEBUG Mon Jun 22 19:48:55 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:48:55 2026] ...e_server/src/comms.lua:69: Results : "done" 36902
[DEBUG Mon Jun 22 19:48:56 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:48:56 2026] ...e_server/src/comms.lua:69: Results : "done" 12388
[DEBUG Mon Jun 22 19:49:23 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:49:23 2026] ...e_server/src/comms.lua:69: Results : "done" 5316
[DEBUG Mon Jun 22 19:49:24 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:49:24 2026] ...e_server/src/comms.lua:69: Results : "done" 60592
[DEBUG Mon Jun 22 19:49:38 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:49:38 2026] ...e_server/src/comms.lua:69: Results : "done" 55127
[DEBUG Mon Jun 22 19:49:39 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:49:39 2026] ...e_server/src/comms.lua:69: Results : "done" 16231
[DEBUG Mon Jun 22 19:51:07 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:51:07 2026] ...e_server/src/comms.lua:69: Results : "done" 21789
[DEBUG Mon Jun 22 19:51:08 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:51:08 2026] ...e_server/src/comms.lua:69: Results : "done" 16329
[DEBUG Mon Jun 22 19:51:45 2026] ...e_server/src/comms.lua:66: cmd recieved = "move_item"
[DEBUG Mon Jun 22 19:51:45 2026] ...e_server/src/comms.lua:69: Results : "done" 21439
[DEBUG Mon Jun 22 19:51:45 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:51:45 2026] ...e_server/src/comms.lua:69: Results : "done" 57044
[DEBUG Mon Jun 22 19:58:10 2026] ...e_server/src/comms.lua:66: cmd recieved = "move_item"
[DEBUG Mon Jun 22 19:58:11 2026] ...e_server/src/comms.lua:69: Results : "done" 37023
[DEBUG Mon Jun 22 19:58:13 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:58:13 2026] ...e_server/src/comms.lua:69: Results : "done" 39056
[DEBUG Mon Jun 22 19:59:44 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 19:59:44 2026] ...e_server/src/comms.lua:69: Results : "done" 27965
[DEBUG Mon Jun 22 19:59:45 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 19:59:45 2026] ...e_server/src/comms.lua:69: Results : "done" 229
[DEBUG Mon Jun 22 20:00:09 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:00:09 2026] ...e_server/src/comms.lua:69: Results : "done" 22578
[DEBUG Mon Jun 22 20:00:10 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 20:00:10 2026] ...e_server/src/comms.lua:69: Results : "done" 39898
[DEBUG Mon Jun 22 20:01:51 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:01:51 2026] ...e_server/src/comms.lua:69: Results : "done" 58013
[DEBUG Mon Jun 22 20:01:52 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 20:01:52 2026] ...e_server/src/comms.lua:69: Results : "done" 9480
[DEBUG Mon Jun 22 20:02:09 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:02:09 2026] ...e_server/src/comms.lua:69: Results : "done" 9692
[DEBUG Mon Jun 22 20:02:10 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 20:02:10 2026] ...e_server/src/comms.lua:69: Results : "done" 22409
[DEBUG Mon Jun 22 20:04:24 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:04:24 2026] ...e_server/src/comms.lua:69: Results : "done" 61290
[DEBUG Mon Jun 22 20:04:25 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 20:04:25 2026] ...e_server/src/comms.lua:69: Results : "done" 3765
[DEBUG Mon Jun 22 20:04:35 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:04:35 2026] ...e_server/src/comms.lua:69: Results : "done" 54186
[DEBUG Mon Jun 22 20:04:36 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 20:04:36 2026] ...e_server/src/comms.lua:69: Results : "done" 25255
[DEBUG Mon Jun 22 20:05:30 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:05:30 2026] ...e_server/src/comms.lua:69: Results : "done" 24616
[DEBUG Mon Jun 22 20:05:31 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 20:05:31 2026] ...e_server/src/comms.lua:69: Results : "done" 44095
[DEBUG Mon Jun 22 20:07:02 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:07:02 2026] ...e_server/src/comms.lua:69: Results : "done" 7056
[DEBUG Mon Jun 22 20:07:03 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 20:07:03 2026] ...e_server/src/comms.lua:69: Results : "done" 56587
[DEBUG Mon Jun 22 20:07:22 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:07:22 2026] ...e_server/src/comms.lua:69: Results : "done" 35509
[DEBUG Mon Jun 22 20:07:23 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 20:07:23 2026] ...e_server/src/comms.lua:69: Results : "done" 23887
[DEBUG Mon Jun 22 20:08:21 2026] ...e_server/src/comms.lua:66: cmd recieved = "move_item"
[DEBUG Mon Jun 22 20:08:21 2026] ...e_server/src/comms.lua:69: Results : "done" 48312
[DEBUG Mon Jun 22 20:08:22 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:08:22 2026] ...e_server/src/comms.lua:69: Results : "done" 60946
[DEBUG Mon Jun 22 20:08:32 2026] ...e_server/src/comms.lua:66: cmd recieved = "move_item"
[DEBUG Mon Jun 22 20:08:33 2026] ...e_server/src/comms.lua:69: Results : "done" 54568
[DEBUG Mon Jun 22 20:08:33 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:08:33 2026] ...e_server/src/comms.lua:69: Results : "done" 63207
[DEBUG Mon Jun 22 20:08:45 2026] ...e_server/src/comms.lua:66: cmd recieved = "get_content"
[DEBUG Mon Jun 22 20:08:45 2026] ...e_server/src/comms.lua:69: Results : "done" 4952
[DEBUG Mon Jun 22 20:08:46 2026] ...e_server/src/comms.lua:66: cmd recieved = "list_all_inventories"
[DEBUG Mon Jun 22 20:08:46 2026] ...e_server/src/comms.lua:69: Results : "done" 13904
